QTY,"CAT
PG#",CATEGORY / SKU,CASE QTY,ITEM DESCRIPTION,,,UPC,START DATE,AUTH PRICE,AUTH PLUS ,AUTH AMT,AUTH PLUS AMT,MAP,MSRP
,14,SECXRSM2732G,25,XRS SERIES 2-7X32 COMPACT SCOPE/BLUE ILL. MIL-DOT/WAVER AND CARRY HANDLE MOUNT,,,848754001405,6/12/2014, $ 71.21 , $ 74.06 ,  ,  , $ 108.99 , $ 120.99 
,12,SEECPRQ3532G,25,COMPACT PRISMATIC OPTIC (CPO) 3.5X32/BLUE & GREEN ILL. URBAN TACTICAL RETICLE/GREEN LENS,,,848754003515,9/11/2015, $ 62.56 , $ 65.05 ,  ,  , $ 91.99 , $ 103.99 
,15,SEECR3942R,25,RUBBER ARMORED COMPACT SERIES 3-9X42 RED & GREEN ILL. RUBBER SCOPE/RINGS/RUBY LENS,,,814108010638,, $ 79.73 , $ 82.92 ,  ,  , $ 108.99 , $ 120.99 
,17,SEEFB3940G,20,SHOOTER I GEN II SERIES 3-9X40 BLACK SCOPE/RED & GREEN ILL./GREEN LENS/WEAVER RINGS ,,,814108018313,6/25/2012, $ 40.60 , $ 42.23 ,  ,  , $ 60.99 , $ 72.99 
,,SEEFL1624G,20,NcSTAR® 1-6X2MM SHOOTER SERIES SCOPE/ LPV RETICLE/ BLACK,,,848754011466,3/12/2019, $ 95.47 , $ 99.29 ,  ,  , $ 145.99 , $ 157.99 
,,SEEFL1624GSPR-A,1,NcSTAR® 1-6X2MM SHOOTER SERIES SCOPE & SPR MOUNT COMBO/ LPV RETICLE/ BLACK,,,848754011503,3/12/2019, $ 112.61 , $ 117.11 ,  ,  , $ 169.99 , $ 181.99 
,,SEEFP41644G,20,NcSTAR® 4-16X4MM SHOOTER SERIES SCOPE/ P4 SNIPER RETICLE/ BLACK,,,848754011473,3/12/2019, $ 104.09 , $ 108.26 ,  ,  , $ 157.99 , $ 169.99 
,,SEEFP41644GSPR-A,1,NcSTAR® 4-16X4MM SHOOTER SERIES SCOPE & SPR MOUNT/ P4 SNIPER RETICLE/ BLACK,,,848754011923,7/19/2019, $ 121.25 , $ 126.10 ,  ,  , $ 181.99 , $ 205.99 
,18,SEPB2732B,25,PISTOLERO SERIES 2-7X32E RED ILL. PISTOL & LONG EYE RELIEF/RING/BLUE LENS,,,814108011086,, $ 54.70 , $ 56.89 ,  ,  , $ 72.99 , $ 84.99 
,17,SFB3940BT,20,SHOOTER I SERIES 3-9X40 TAN SCOPE/BLUE LENS WEAVER RINGS,,,848754002082,7/9/2014, $ 31.94 , $ 33.22 ,  ,  , $ 48.99 , $ 54.99 
,17,SFB3940G,20,SHOOTER I GEN II SERIES 3-9X40 BLACK SCOPE/GREEN LENS/WEAVER RINGS ,,,814108018092,3/30/2012, $ 30.61 , $ 31.83 ,  ,  , $ 42.99 , $ 54.99 
,18,SPB2530B,25,PISTOLERO SERIES 2.5X30 PISTOL SCOPE/BLUE LENS/RING,,,814108011031,, $ 33.14 , $ 34.47 ,  ,  , $ 42.99 , $ 54.99 
,18,SPB2732B,25,PISTOLERO SERIES 2-7X32 PISTOL SCOPE/BLUE LENS/RINGS,,,814108011079,, $ 43.12 , $ 44.85 ,  ,  , $ 60.99 , $ 72.99 
,16,STM3942GV2,25,MARK III TACTICAL GEN II 3-9X42 MIL-DOT,,,848754000422,8/15/2013, $ 61.88 , $ 64.35 ,  ,  , $ 120.99 , $ 157.99 
,16,STP3942GV2,25,MARK III TACTICAL GEN II 3-9X42 P4 SNIPER,,,848754000439,8/15/2013, $ 61.88 , $ 64.35 ,  ,  , $ 120.99 , $ 157.99 
,,DOT SIGHTS,,,,,,,,,,,,
,23,D3ARSGQLR2,25,TACTICAL GREEN DOT/3 ARMORED RAIL SYSTEM/QUICK RELEASE/BUILT IN RED LASER,,,848754000163,7/1/2013, $ 78.53 , $ 81.68 ,  ,  , $ 108.99 , $ 120.99 
,25,D4B,50,RED DOT REFLEX SIGHT /4 DIFFERENT RETICLES/WEAVER BASE/BLACK,,,814108011260,, $ 29.95 , $ 31.15 ,  ,  , $ 48.99 , $ 60.99 
,25,D4BLQ,50,BLUE REFLEX SIGHT/4 RETICLES/QR MNT/BLK,,,848754000750,1/8/2014, $ 41.93 , $ 43.60 ,  ,  , $ 60.99 , $ 72.99 
,25,D4BQ,50,RED REFLEX SIGHT/4 RETICLES/QR MNT/BLK,,,848754001238,2/27/2014, $ 41.93 , $ 43.60 ,  ,  , $ 60.99 , $ 72.99 
